Index,organism,causal_gene_name,Arabidopsis_thaliana,Glycine_max,Brassica_rapa,Solanum_lycopersicum,Oryza_sativa_Japonica,Oryza_sativa_Indica,Setaria_italica,Zea_mays,Sorghum_bicolor,Brachypodium_distachyon,Hordeum_vulgare,ortholog group,Trait,Trait_Category
11,Hordeum_vulgare,MLO,,"GLYMA04G01730.1,GLYMA06G01820.1",,,"LOC_Os03g03700.1_,LOC_Os06g29110.1","BGIOSGA011531-PA,BGIOSGA022929-PA",Si034998m,GRMZM2G032219,Sb01g048500.1,BRADI1G76500.1,MLOC_70290.3,ENOG410ZUVB,Pathogen_resistance,biotic_stress_response
12,Hordeum_vulgare,Mla1,,,,,,,,,,BRADI2G39247.1,"MLOC_64444.1,MLOC_21734.1",ENOG411BZQ2,Pathogen_resistance,biotic_stress_response
13,Hordeum_vulgare,Mla13,,,,,,,,,,BRADI2G39247.1,"MLOC_64444.1,MLOC_21734.1",ENOG411BZQ2,Pathogen_resistance,biotic_stress_response
14,Hordeum_vulgare,Mla6,,,,,,,,,,BRADI2G39247.1,"MLOC_64444.1,MLOC_21734.1",ENOG411BZQ2,Pathogen_resistance,biotic_stress_response
15,Hordeum_vulgare,teosinte branched 1 (tb1) = IntC,,,,,LOC_Os03g49880.1,BGIOSGA013417-PA,Si038692m,"AC190734.2_FGP003,AC233950.1_FGP002",Sb01g010690.1,BRADI1G11060.1,MLOC_70116.1,ENOG410Z0VC,Plant_and_inflorescence_architecture,development
16,Hordeum_vulgare,VRS1 = SIX-ROWED SPIKE 1 ,"AT2G18550.1,AT4G36740.1,AT5G66700.1","GLYMA01G38390.1,GLYMA02G06560.2,GLYMA11G06940.1","Bra010573.1-P,Bra012093.1-P,Bra017780.1-P,Bra028099.1-P,Bra031819.1-P,Bra037154.1-P,Bra040941.1-P","Solyc02g062960.2.1,Solyc02g085630.2.1,Solyc03g034110.2.1,Solyc03g034120.2.1,Solyc03g034130.2.1,Solyc03g034150.1.1",LOC_Os07g39320.1,BGIOSGA026014-PA,Si031009m,"GRMZM2G062244,GRMZM2G104204",Sb02g037560.1,BRADI1G23460.1,MLOC_77488.1,ENOG410Z2UE,Plant_and_inflorescence_architecture,development
17,Hordeum_vulgare,HvbHLH1,"AT1G63650.1,AT4G00480.2,AT5G41315.1","GLYMA03G01180.1,GLYMA05G37770.1,GLYMA07G07740.1,GLYMA08G01810.1","Bra000970.1-P,Bra025508.1-P,Bra027653.1-P,Bra027796.1-P,Bra037343.1-P",Solyc08g081140.2.1,"LOC_Os04g47040.1,LOC_Os04g47059.1,LOC_Os04g47080.1","BGIOSGA014565-PA,BGIOSGA014566-PA,BGIOSGA014567-PA,BGIOSGA015472-PA","Si000845m,Si012401m","GRMZM2G172795,GRMZM5G822829","Sb06g016380.1,Sb06g025020.1,Sb06g025040.1,Sb06g025060.1",,MLOC_38470.1,ENOG410Z2WK,Plant_color,color_texture_flavor_and_fragrance
18,Hordeum_vulgare,Hooded/Knox3,,,,,LOC_Os07g03770.1,BGIOSGA025091-PA,Si031454m,"GRMZM2G028041,GRMZM2G452178",Sb02g002200.1,BRADI1G57607.1,MLOC_11678.1,ENOG410XPMQ,Plant_morphology_(flowers),development
19,bean,I cluster,"AT1G69550,AT3G25510","GLYMA12G15850.2,GLYMA06G41430.1,GLYMA12G16450.1,GLYMA06G40710.1,GLYMA06G40950.1,GLYMA06G40980.1,GLYMA06G41241.1,GLYMA06G43850.1,GLYMA06G41290.2,GLYMA06G40690.1,GLYMA06G41380.2,GLYMA06G40780.1","Bra019409,Bra020861","Solyc05G006630.2.1,Solyc11G011090.1.1",,,"Si025838m,Si026026m",,"Sb05g025450.1,Sb05g025470.1",BRADI2G41920.1,"MLOC_7267.3,MLOC_77255.1",ENOG411DSDC,Pathogen_resistance,biotic_stress_response
20,beet,BOLTING TIME CONTROL 1 (BvBTC1),AT5G02810,"GLYMA10G05520.2,GLYMA13G19871.1",Bra009565,Solyc04g049670.2.1,LOC_Os07g49460,BGIOSGA010964-PA,"Si033274m,Si034368m","GRMZM2G005732,GRMZM2G095727,GRMZM2G033962",Sb06g014570,,MLOC_81154.10,ENOG411BEWH,Flowering_time,development
21,beet,CYP76AD1,,,,,"LOC_Os10g08540.1,LOC_Os10g08319.1,LOC_Os10g08474","BGIOSGA032583-PA,BGIOSGA032580-PA,BGIOSGA032584-PA","Si035322m,Si040027m",GRMZM5G851862,"Sb01g016910.1,Sb01g016900.1",BRADI3G22560.1,MLOC_53378.1,ENOG4115PYS,Plant_coloration,color_texture_flavor_and_fragrance
22,Brassica_rapa,FLC-2,At5G10140,"GLYMA05G28130.1,GLYMA08G11110.1","Bra028599,Bra006051",,,,,,,,,ENOG411BUQE,Flowering_time,development
23,Brassica_rapa,qSH1,AT5G02030.1,"GLYMA01G25710.2,GLYMA03G17397.1,GLYMA18G41280.1","Bra005703.1-P,Bra009618.1-P,Bra028883.1-P","Solyc09g011380.2.1,Solyc10g086640.1.1","LOC_Os01g62920.1,LOC_Os05g38120.1","BGIOSGA000492-PA,BGIOSGA019968-PA","Si000753m,Si021626m","GRMZM2G074645,GRMZM2G125976,GRMZM2G154641","Sb03g039840.1,Sb09g022270.1","BRADI2G23530.1,BRADI2G54940.1","MLOC_3638.2,MLOC_66099.1",ENOG410XPMQ,Seed_shattering,development
24,Brassica_rapa,retr02/eIF(iso)4E,AT5G35620.1,"GLYMA10G27570.1,GLYMA20G21493.1","Bra035393.1-P,Bra035531.1-P,Bra039484.1-P",Solyc09g090580.2.1,LOC_Os10g32970.1,BGIOSGA033102-PA,Si037504m,"GRMZM2G022019,GRMZM2G445905",Sb01g019730.1,BRADI3G28340.1,MLOC_77976.1,COG5053,Pathogen_resistance,biotic_stress_response
25,Cauliflower,Cauliflower (BoCAL),"AT5G60910.1,AT1G69120.1,AT1G26310.1","GLYMA06G22650.2,GLYMA04G31847.1","Bra011021.1-P,Bra004361,Bra029347",Solyc03g114830.2.1,"LOC_Os03g54160.1,LOC_Os07g01820.1","BGIOSGA024961-PA,BGIOSGA009798-PA",Si030802m,"GRMZM2G148693,GRMZM2G032339,GRMZM2G553379,GRMZM2G072582","Sb01g007790.1,Sb02g001090.1","BRADI1G59250.1,BRADI1G08340.1",MLOC_61901.1,ENOG411BFD5,Inflorescence_morphology,development
26,Cauliflower,Purple (Pr),AT1G66390.1,"GLYMA18G41520.1,GLYMA07G16980.1",Bra001917.1-P,,,,,,,,,ENOG411BYE1,Plant_color,color_texture_flavor_and_fragrance
27,Zea_mays,teosinte glume architecture (tga1),,,,,LOC_Os08g41940.1,BGIOSGA029051-PA,Si013747m,GRMZM2G101511,Sb07g026220.1,BRADI3G41250.1,MLOC_37841.2,ENOG410YD0Z,Cupule_retraction,development
28,Zea_mays,ZmCCT (orthologous to rice Ghd7),,,,,LOC_Os07g15770.1,BGIOSGA024502-PA,"Si011920m,Si039184m",,Sb06g000570.1,,MLOC_77036.2,COG5641,Flowering_time,development
29,Zea_mays,Rap2.7 (vgt1),"AT2G28550.3,AT5G67180.1","GLYMA03G33470.1,GLYMA11G15650.4,GLYMA12G07800.1,GLYMA13G40470.1,GLYMA15G04930.1,GLYMA19G36200.2","Bra000487.1-P,Bra011939.1-P,Bra012139.1-P","Solyc02g064960.2.1,Solyc06g075510.2.1,Solyc09g007260.2.1,Solyc10g084340.1.1,Solyc11g072600.1.1",,,,GRMZM2G700665,,,,ENOG410YD13,Flowering_time,development
30,Zea_mays,zfl2,AT5G61850.1,"GLYMA04G37900.2,GLYMA06G17170.1","Bra019619.1-P,Bra029305.1-P",Solyc03g118160.1.1,LOC_Os04g51000.1,BGIOSGA014428-PA,Si011756m,GRMZM2G180190,Sb06g027340.1,BRADI5G20340.1,MLOC_14305.1,ENOG4110P9Q,Flowering_time,development
31,Zea_mays,sugary 1 (su1) = isoamylase-type starch-debranching enzymes,AT2G39930.1,"GLYMA05G36370.1,GLYMA08G03210.1",Bra005001.1-P,Solyc07g014590.2.1,LOC_Os08g40930.1,BGIOSGA026650-PA,Si013277m,GRMZM2G138060,Sb07g027200.1,BRADI3G40410.1,MLOC_48036.1,COG1523,Fruit_sugar_content,color_texture_flavor_and_fragrance
32,Zea_mays,opaque2 (O2),,,,,,,Si029970m,GRMZM2G015534,"Sb02g004590.1,Sb02g004610.1",,,ENOG41108S0,Lysine_content_(endosperm),color_texture_flavor_and_fragrance
33,Zea_mays,MATE1/ZmMATE1,,,,,LOC_Os10g13940.1,BGIOSGA032668-PA,Si035321m,GRMZM5G870170,Sb07g001800.1,BRADI3G23150.1,MLOC_36698.5,COG0534,Metal_tolerance,abiotic_stress_response
34,Zea_mays,DGAT1-2,,,,"Solyc07g040740.2.1,Solyc12g008970.1.1",LOC_Os06g36800.1,,Si006298m,GRMZM2G169089,Sb10g022270.1,BRADI1G37750.1,MLOC_15432.3,COG5056,Oil_composition_and_yield,color_texture_flavor_and_fragrance
35,Zea_mays,HM1 = HC toxin reductase (HCTR),,"GLYMA03G41740.1,GLYMA19G44360.1,GLYMA19G44370.1",,"Solyc04g015590.2.1,Solyc10g009500.2.1,Solyc10g009540.1.1",LOC_Os06g44170.1,BGIOSGA020770-PA,Si006774m,GRMZM5G881887,Sb07g023130.1,BRADI1G31020.1,MLOC_58028.1,COG0451,Pathogen_resistance,biotic_stress_response
36,Zea_mays,HM2 = HC toxin reductase (HCTR),,"GLYMA03G41740.1,GLYMA19G44360.1,GLYMA19G44370.1",,"Solyc04g015590.2.1,Solyc10g009500.2.1,Solyc10g009540.1.1",LOC_Os06g44170.1,BGIOSGA020770-PA,,GRMZM2G086773,Sb10g025740.1,BRADI1G31020.1,MLOC_58028.1,COG0451,Pathogen_resistance,biotic_stress_response
37,Zea_mays,Lysine histidine transporter 1,,,,,LOC_Os08g03350.1,BGIOSGA027915-PA,Si013740m,GRMZM2G046743,Sb07g002230.1,BRADI3G14140.1,MLOC_16705.3,COG0814,Pathogen_resistance,biotic_stress_response
38,Zea_mays,Rp1-D,,,,,,,,AAD47197.1,,,,COG4886,Pathogen_resistance,biotic_stress_response
39,Zea_mays,Rp3 ,,,,,,,,Zm00001d041362,,,,COG4886,Pathogen_resistance,biotic_stress_response
40,Zea_mays,Barren inflorescence2 (BIF2),,,,,LOC_Os12g42020.1,"BGIOSGA034681-PA,BGIOSGA037790-PA",Si021826m,GRMZM2G171822,Sb08g021520.1,BRADI4G01700.1,MLOC_71203.1,ENOG410XQ0C,Plant_and_inflorescence_architecture,development
41,Zea_mays,teosinte branched 1 (tb1),,,,,LOC_Os03g49880.1,BGIOSGA013417-PA,Si038692m,Zm00001d033673,,BRADI1G11060.1,MLOC_70116.1,ENOG410Z0VC,Plant_and_inflorescence_architecture,development
42,Zea_mays,colored1 (r1),"AT1G63650.1,AT4G00480.2,AT5G41315.1","GLYMA03G01180.1,GLYMA05G37770.1,GLYMA07G07740.1,GLYMA08G01810.1","Bra000970.1-P,Bra025508.1-P,Bra027653.1-P,Bra027796.1-P,Bra037343.1-P",Solyc08g081140.2.1,"LOC_Os04g47040.1,LOC_Os04g47059.1,LOC_Os04g47080.1","BGIOSGA014565-PA,BGIOSGA014566-PA,BGIOSGA014567-PA,BGIOSGA015472-PA","Si000845m,Si012401m",GRMZM5G822829,"Sb06g016380.1,Sb06g025020.1,Sb06g025040.1,Sb06g025060.1",,MLOC_38470.1,ENOG410Z2WK,Plant_coloration_(seeds),color_texture_flavor_and_fragrance
43,Zea_mays,dwarf-8 (d8),"AT1G14920.1,AT2G01570.1,AT3G03450.1,AT5G17490.1","GLYMA05G27190.1,GLYMA08G10140.1,GLYMA11G33720.1,GLYMA18G04500.1","Bra013973.1-P,Bra024875.1-P,Bra031991.1-P",Solyc11g011260.1.1,LOC_Os03g49990.1,BGIOSGA013420-PA,Si039400m,"GRMZM2G024973,GRMZM2G144744",Sb01g010660.1,BRADI1G11090.1,MLOC_67940.1,ENOG410YBFY,"Plant_stature,_dwarfism",development
44,Zea_mays,shrunken-2 (Sh2) = endosperm ADP-glucose pyrophosphorylase large subunit,"AT2G21590.1,AT4G39210.1","GLYMA04G01350.2,GLYMA06G01380.1,GLYMA11G12410.1,GLYMA12G04630.1","Bra030291.1-P,Bra033604.1-P",Solyc01g109790.2.1,LOC_Os01g44220.1,BGIOSGA004052-PA,Si001040m,GRMZM2G429899,Sb03g028850.1,,,COG0448,Seed_aspect,color_texture_flavor_and_fragrance
45,Zea_mays,B1,"AT1G63650.1,AT4G00480.2,AT5G41315.1","GLYMA03G01180.1,GLYMA05G37770.1,GLYMA07G07740.1,GLYMA08G01810.1","Bra000970.1-P,Bra025508.1-P,Bra027653.1-P,Bra027796.1-P,Bra037343.1-P",Solyc08g081140.2.1,"LOC_Os04g47040.1,LOC_Os04g47059.1,LOC_Os04g47080.1","BGIOSGA014565-PA,BGIOSGA014566-PA,BGIOSGA014567-PA,BGIOSGA015472-PA","Si000845m,Si012401m",GRMZM2G172795,"Sb06g016380.1,Sb06g025020.1,Sb06g025040.1,Sb06g025060.1",,MLOC_38470.1,ENOG410Z2WK,Seed_color,color_texture_flavor_and_fragrance
46,Zea_mays,c1,AT5G35550.1,,Bra035532.1-P,,LOC_Os06g10350.1,BGIOSGA022508-PA,,GRMZM2G005066,Sb10g006700.1,,,COG5147,Seed_color,color_texture_flavor_and_fragrance
47,Zea_mays,pericarp color1 (P1),,GLYMA02G01740.1,,,LOC_Os03g19120.1,BGIOSGA010900-PA,Si039538m,Zm00001d028850,Sb01g037670.1,,MLOC_57220.1,COG5147,Seed_color,color_texture_flavor_and_fragrance
48,Zea_mays,phytoene synthase (Y1),,"GLYMA11G36420.2,GLYMA18G15451.1",,,LOC_Os06g51290.1,BGIOSGA020499-PA,Si006539m,GRMZM2G300348,Sb10g031020.1,BRADI1G29590.1,MLOC_69078.8,COG1562,Seed_color_(carotenoids),color_texture_flavor_and_fragrance
49,Zea_mays,Shattering1 (ZmSh1-1),AT1G08465.1,"GLYMA06G46560.1,GLYMA12G10210.3,GLYMA13G38750.1","Bra018624.1-P,Bra030728.1-P,Bra031629.1-P","Solyc06g073920.2.1,Solyc11g071810.1.1",,BGIOSGA037817-PA,,GRMZM2G116646,,,,ENOG410YHWI,Seed_shattering,development
50,Zea_mays,Shattering1 (ZmSh1-5.1/ ZmSh1-5.2),AT1G08465.1,"GLYMA06G46560.1,GLYMA12G10210.3,GLYMA13G38750.1","Bra018624.1-P,Bra030728.1-P,Bra031629.1-P","Solyc06g073920.2.1,Solyc11g071810.1.1",LOC_Os03g44710.1,BGIOSGA037817-PA,,GRMZM2G074124,,BRADI1G13570.1,MLOC_70676.2,ENOG410YHWI,Seed_shattering,development
51,Zea_mays,brittle endosperm2 (Bt2) ,,"GLYMA02G47460.1,GLYMA14G01290.1",Bra015135.1-P,Solyc12g011120.1.1,,,,GRMZM2G068506,,,,COG0448,Sweet_and_brittle_seed,color_texture_flavor_and_fragrance
52,Flax,L6,"AT1G69550,AT3G25510","GLYMA12G15850.2,GLYMA06G41430.1,GLYMA12G16450.1,GLYMA06G40710.1,GLYMA06G40950.1,GLYMA06G40980.1,GLYMA06G41241.1,GLYMA06G43850.1,GLYMA06G41290.2,GLYMA06G40690.1,GLYMA06G41380.2,GLYMA06G40780.1","Bra019409,Bra020861","Solyc05G006630.2.1,Solyc11G011090.1.1",,,"Si025838m,Si026026m",,"Sb05g025450.1,Sb05g025470.1",BRADI2G41920.1,"MLOC_7267.3,MLOC_77255.1",ENOG411BEFH,Pathogen_resistance,biotic_stress_response
53,Flax,M,,"GLYMA01G04200.2,GLYMA15G13290.1,GLYMA02G03010.2,GLYMA15G21140.1,GLYMA01G08640.1,GLYMA02G03520.1,GLYMA12G14700.1,GLYMA09G02401.1,GLYMA09G02420.1,GLYMA15G13300.2",,Solyc09G064610.2.1,LOC_Os05g31550.1,,,,,,,ENOG411BMW1,Pathogen_resistance,biotic_stress_response
54,Grapevine,VvMYBA1,"AT1G56650.1,AT1G66370.1,AT1G66380.1,AT1G66390.1","GLYMA07G16980.1,GLYMA18G41520.1","Bra001917.1-P,Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,COG5147,Plant_coloration_(fruit),color_texture_flavor_and_fragrance
55,Grapevine,VvMYBA2,"AT1G56650.1,AT1G66370.1,AT1G66380.1,AT1G66390.1","GLYMA07G16980.1,GLYMA18G41520.1","Bra001917.1-P,Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,COG5147,Plant_coloration_(fruit),color_texture_flavor_and_fragrance
56,Grapevine,VvMYBA3,"AT1G56650.1,AT1G66370.1,AT1G66380.1,AT1G66390.2","GLYMA07G16980.1,GLYMA18G41520.2","Bra001917.1-P,Bra004162.1-P,Bra039763.1-P","Solyc10g086250.1.1,Solyc10g086260.1.1,Solyc10g086270.1.1,Solyc10g086290.1.1",,,,,,,,COG5147,Plant_coloration_(fruit),color_texture_flavor_and_fragrance
57,Alloteropsis,phosphoenolpyruvate carboxylase (PEPC),,,,,,,Si005789m,GRMZM2G083841,Sb10g021330.1,,,ENOG410JW91,C3/C4_photosynthesis_-_enzymatic_properties_,other
58,Groundsel,RAY1/RAY2,"AT3G18550.1,AT1G68800.1","GLYMA04G22407.1,GLYMA06G23410.2","Bra001710.1-P,Bra037579.1-P,Bra038350.1-P","Solyc04g006980.1.1,Solyc06g069240.1.1,Solyc03g119770.2.1,Solyc03g119770.2.1","LOC_Os09g24480.1,LOC_Os03g49880.1","BGIOSGA013417-PA,BGIOSGA030744-PA","Si038692m,Si033183m","GRMZM2G110242,GRMZM2G064628","Sb01g010690.1,Sb02g024450.1","BRADI4G29980.1,BRADI1G11060.1","MLOC_70116.1,MLOC_4614.1",ENOG410J0IG,Plant_morphology_(flowers),development
59,Iochroma,dihydroflavonol reductase (DFR),AT5G42800.1,"GLYMA02G18380.1,GLYMA17G37060.1,GLYMA14G07940.1",Bra027457.1-P,Solyc02g085020.2.1,LOC_Os01g44260.1,BGIOSGA004056-PA,Si005186m,"GRMZM2G026930,GRMZM2G013726","Sb03g028880.1,Sb04g004290.1",BRADI2G44480.1,MLOC_65788.2,ENOG411BCKA,Plant_coloration_(flowers),development
60,Iochroma,"flavonoid 3',5'-hydroxylase (F3'5'H)",,"GLYMA20G08160.1,GLYMA13G04210.1",,Solyc11G066580.1.1,LOC_Os03g25150,,Si035183m,GRMZM2G119067,"Sb01g034470.1,Sb01g034460.1","BRADI2G11620.1,BRADI1G61577.1",,ENOG411BNKG,Plant_coloration_(flowers),development
61,Lettuce,RGC2/Dm3,,"GLYMA15G39596.1,GLYMA07G06914.1,GLYMA07G07100.2,GLYMA18G46050.5,GLYMA07G08445.1,GLYMA16G03550.2,GLYMA07G07110.1,GLYMA06G39990.1,GLYMA07G07015.1,GLYMA13G33536.1,GLYMA07G07150.1,GLYMA07G07075.1,GLYMA16G03515.1,GLYMA07G06866.1,GLYMA01G10254.1,GLYMA18G46026.1",,"Solyc10G055080.1.1,Solyc04G005540.2.1,Solyc04G005550.1.1,Solyc12G044190.1.1",LOC_Os11g29090.1,"BGIOSGA033999-PA,BGIOSGA034001-PA",,,,,,ENOG411BYYM,Pathogen_resistance,biotic_stress_response
62,Setaria_italica,Waxy /GBSS,AT1G32900.1,"GLYMA07G05580.3,GLYMA10G31540.3,GLYMA16G02110.3,GLYMA20G36040.1",Bra010189.1-P,,LOC_Os06g04200.1,BGIOSGA022241-PA,Si006103m,GRMZM2G024993,Sb10g002140.1,BRADI1G50090.1,MLOC_64657.2,COG0297,Amylose_content,color_texture_flavor_and_fragrance
